model,CV_PR_AUC_mean,CV_PR_AUC_std,CV_ROC_AUC_mean,CV_ROC_AUC_std,timestamp
Logistic Regression,0.06552551736800896,0.005915418090961056,0.734158956375454,0.009418111579359605,2026-06-06T22:19:41
Random Forest,0.07233749852775603,0.0034767488401146918,0.7388188543803973,0.006540468611583126,2026-06-06T22:23:27
Bagging,0.06735664912356613,0.00349065976336461,0.7310582333416205,0.01125336967535589,2026-06-06T22:24:53
AdaBoost,0.0690423203975706,0.005895532254658321,0.7350987034469522,0.010927185856288432,2026-06-06T22:29:46
HistGradientBoosting,0.07516621686526628,0.008332604398120167,0.7390017126084258,0.008105486908722832,2026-06-06T22:29:57
XGBoost,0.0768315166685543,0.00889830237500636,0.7426188987839912,0.010042832350679542,2026-06-06T22:30:31
LightGBM,0.07458023806755715,0.005546084511430968,0.7336750784249838,0.009303125902707005,2026-06-06T22:32:21
CatBoost,0.07510590973376763,0.0063178616513573,0.7418347703660779,0.008857739644162851,2026-06-06T22:36:18
SVM (RBF approx),0.07723663972778147,0.00787933244213725,0.7401268083803616,0.009280856227086418,2026-06-06T22:39:00
