winner,feature,perm_mean,perm_std
SVM (RBF approx),mat_time,0.004367233659836639,0.003508101226337023
SVM (RBF approx),balance_time,0.011478095034135435,0.0026209131874265217
SVM (RBF approx),interest_rate_time,0.025949598569142213,0.0033350720302113205
SVM (RBF approx),hpi_time,0.009413878020362101,0.003118978829601037
SVM (RBF approx),gdp_time,0.0023361663589612685,0.003968992584789794
SVM (RBF approx),uer_time,0.0046204789493944996,0.0023400755809765057
SVM (RBF approx),FICO_orig_time,0.00483793646963891,0.0030170208402101723
